time	edge covered
0	75
169	77
1079	84
3052	84
3641	91
8345	159
15184	185
24543	191
26711	191
30519	191
33161	192
38423	196
40346	211
41660	212
44295	213
45978	214
53390	215
60562	218
63517	220
161089	224
167279	225
187069	230
248006	231
288048	234
294084	269
294688	274
295947	274
297191	278
297743	281
298709	281
301176	284
301704	284
313646	290
322285	290
323456	299
325050	299
325705	301
342499	301
350193	301
351183	304
386017	307
388905	307
392899	307
494568	310
547704	312
551931	312
557655	312
565686	312
567002	312
572653	312
573206	312
574373	312
582607	312
584157	312
584757	314
585599	314
586148	314
586892	316
587883	316
588996	316
589683	316
591679	316
593267	316
594247	316
595592	318
596451	318
598341	320

