time	edge covered
0	75
186	77
2116	84
3894	109
8322	110
8974	111
18586	112
28758	188
42051	190
43183	200
56661	201
65073	202
90548	202
113431	203
123029	204
130424	205
151032	206
156060	208
165990	232
166546	235
167197	236
168010	242
168868	242
169677	245
171468	268
172230	268
173954	268
175110	271
176894	275
180929	275
192901	276
203321	282
208713	294
212413	294
213117	298
230174	300
231493	312
255779	312
261325	312
262555	314
275977	314
280148	316
281024	316
281637	316
282204	316
284108	316
287342	316
289738	316
290286	316
292041	316
293103	316
294794	318
299320	318
300388	318
310946	318
313723	318
321819	320
323254	320
324269	322
327640	322
336613	322
351199	322
362960	322
363649	322
375858	322
376517	322
385676	322
386225	322
394047	322
395696	322
407740	322
408646	322
409195	322
409904	322
411318	322
416309	322
423524	322
424590	322
429843	322
434859	322
443370	322
448131	322
459367	322
504376	322
506479	322
517477	322
525054	322
536642	322
551907	322
560626	322
578185	322

