time	edge covered
0	43
167	45
1169	54
1865	55
8432	55
12901	63
16778	76
25541	88
33394	93
34871	94
37776	99
48197	104
51521	106
115711	107
158134	130
174262	131
196160	132
200523	133
202362	134
205460	136
243809	136
270198	137
271261	138
272537	140
273892	142
275503	143
276217	144
276675	146
278128	146
278778	146
279683	146
283532	146
284426	146
284862	146
291358	146
293681	146
294164	146
296461	146
297438	146
303368	146
307013	148
308585	148
348520	148
349358	150
356807	151
358589	152
371380	152
376383	152
386641	153
387398	153
387850	153
391053	154
393119	155
393919	156
394637	156
396249	156
396945	156
409411	156
434728	157
438310	157
448278	157
449571	157
453342	157
463971	157
495211	157
496461	157
497597	157
509276	159
523569	159
531060	160
574351	160
593139	162
595094	162

