time	edge covered
0	20
280	22
7326	24
8242	36
20871	39
24242	40
26245	40
36730	42
40496	44
54032	71
57676	72
69111	75
82788	78
104878	79
105450	80
106090	81
106877	81
109890	83
110679	84
111982	85
112611	87
117161	90
118634	90
123476	90
124101	93
124647	98
125184	98
125950	102
127042	104
127632	104
128476	113
129028	113
130026	116
131115	118
132077	122
132622	122
136024	124
137569	124
138869	126
139397	126
140422	126
141683	126
142318	126
144234	130
147163	130
147843	130
148481	130
149022	131
149565	131
150246	134
150838	134
151369	134
151913	134
153702	134
155602	135
156132	135
156769	135
157689	135
158616	135
160537	135
161392	135
162415	135
163002	135
176130	135
186658	135
200102	138
200767	139
204930	139
218576	139
264988	140
270131	140
287387	140
397294	143
428419	146
437952	150
452680	153
453238	153
454621	153
455365	153
456785	153
457515	153
458045	153
467000	153
475688	156
488105	156
491026	157
508888	160
524349	163
527757	164
529180	164
550534	167
553381	167
575405	167
582430	168
591719	168

