time	edge covered
0	20
248	22
969	25
1596	26
3002	26
12799	50
15261	58
16431	74
17400	75
22198	76
29455	77
33220	79
34196	80
50658	81
56170	81
68551	82
69537	87
93245	88
110694	88
121405	91
138045	92
145444	92
157353	92
185810	93
190065	94
191881	94
200105	94
249579	95
279263	96
280449	96
281548	97
283511	97
284254	101
284854	102
286382	104
287611	105
289023	105
289868	105
291487	105
294844	105
296138	105
296942	105
297949	106
298396	106
299198	106
299844	107
301082	107
305021	108
313925	109
315673	111
319339	111
321902	112
322581	112
323301	112
325566	112
334785	112
360374	113
367130	113
369275	115
369805	115
370364	115
371925	115
373061	115
374277	115
375225	115
376832	115
379980	117
448223	123
459006	123
459951	123
471499	124
472314	124
473214	131
474771	131
475220	132
475827	136
477496	136
479136	141
479776	142
481232	142
485187	142
486486	142
487167	143
489750	144
493388	144
495673	149
496644	149
501200	149
503164	149
504075	149
504877	154
507321	154
507838	155
517088	155
517611	155
531855	159
533895	159
543620	159
552005	159
558425	159
564862	159
570428	159
573554	159
581534	159

