time	edge covered
0	99
175	101
891	105
1765	106
9201	108
12702	117
25728	119
32310	122
42559	130
47314	130
54759	135
56150	136
90133	137
92111	142
112523	143
133400	143
147947	144
171648	145
188625	146
201531	146
215734	147
221790	148
229513	149
233763	151
248936	153
272938	153
279915	156
280495	156
281019	156
281537	159
281990	160
282570	160
283264	160
283880	161
284323	161
284894	161
285336	163
286146	163
286586	163
287733	163
288257	164
288775	164
289575	166
290068	168
291217	168
291863	168
292807	168
293751	168
294723	168
296257	168
297278	168
298798	168
299904	168
300427	168
304071	168
305297	168
306976	168
307783	168
308764	168
309912	168
310850	168
312880	168
315010	168
317239	168
318594	168
320321	169
320932	169
322460	169
337439	169
343103	169
347756	169
349588	169
363091	171
371967	172
372679	172
374064	172
374843	173
376004	173
376583	174
377921	175
379419	175
380033	175
382425	176
383332	176
385173	176
385908	176
386349	177
387635	177
389806	177
394389	177
395044	177
396387	178
405610	178
416670	180
418069	180
426283	180
430661	180
438297	180
442256	180
448777	181
450561	181
453925	181
469213	181
512937	181
515390	181
519148	181
524233	181
549055	181
569638	181
572642	181
585865	181
588147	181
588638	181

