time	edge covered
0	65
305	67
902	72
2661	89
7733	90
11378	117
17219	136
19303	139
25491	140
29130	143
65087	145
70424	146
89475	147
102212	148
142960	149
146418	150
161196	151
162979	151
164105	153
165477	154
169072	155
169846	157
171946	157
173622	159
176053	161
182969	163
227284	165
240238	178
241016	178
241858	185
249617	185
251023	185
251797	185
252318	185
252906	185
253968	185
259333	185
261286	185
263161	186
265693	186
270840	186
276612	186
278352	186
332963	186
363133	186
406442	188
461051	188
560420	189
573000	189

