time	edge covered
0	86
418	88
3973	93
5909	102
7141	102
9530	179
12192	180
13981	183
16182	184
27580	185
30054	186
285130	187
288846	188
318994	189
321483	190
322463	191
323243	204
323965	205
324547	208
325165	222
326365	224
327215	226
329069	226
331662	227
334597	229
335774	231
337951	231
339207	231
342137	231
343652	231
360552	231
406362	233
430977	233
475760	233
499596	233
504888	233
505922	242
507386	251
508759	251
510201	252
511745	252
512856	253
515614	253
518941	253
521632	253
528239	262
535012	262
538767	263
541857	269
558991	272
575964	272
580744	273
588590	275

